D,A,R
0.1,0.1,0.01624747147801129
0.1,0.5,0.014189598755753572
0.1,1.0,0.018076170397197774
0.1,2.0,0.015606014853101088
0.1,5.0,0.015462126569357066
0.1,10.0,0.015074442415322457
0.2,0.1,0.020014927066599516
0.2,0.5,0.016577440287833457
0.2,1.0,0.03567116144684627
0.2,2.0,0.03283742483142128
0.2,5.0,0.017145786638501283
0.2,10.0,0.01678733471534161
0.3,0.1,0.03676288441758915
0.3,0.5,0.03386188560854975
0.3,1.0,0.07061027158853261
0.3,2.0,0.10114447408963737
0.3,5.0,0.029139529497697405
0.3,10.0,0.013258679772127621
0.4,0.1,0.08292103875255998
0.4,0.5,0.07420600219564685
0.4,1.0,0.13634986536444257
0.4,2.0,0.16215069000698956
0.4,5.0,0.0651844058830996
0.4,10.0,0.027414583477210652
0.5,0.1,0.13999776747406664
0.5,0.5,0.1219700485500361
0.5,1.0,0.24088150801223668
0.5,2.0,0.2995902704131524
0.5,5.0,0.1128274637560217
0.5,10.0,0.05572698702416394
0.6,0.1,0.19496971666666166
0.6,0.5,0.16039773051666484
0.6,1.0,0.3204514922832533
0.6,2.0,0.31757826932391636
0.6,5.0,0.1058435132510916
0.6,10.0,0.05962895516724099
0.7,0.1,0.38012929043164
0.7,0.5,0.22937517833251123
0.7,1.0,0.42565679625248604
0.7,2.0,0.3958815572464843
0.7,5.0,0.12303133942881778
0.7,10.0,0.10271613497515729
0.8,0.1,0.6136524723891637
0.8,0.5,0.3809200629112966
0.8,1.0,0.5492375422229057
0.8,2.0,0.36096665372299924
0.8,5.0,0.23029095601626293
0.8,10.0,0.08105388796360713
0.85,0.1,0.7040005872800615
0.85,0.5,0.5518486204950366
0.85,1.0,0.6502893237060552
0.85,2.0,0.3799552569163289
0.85,5.0,0.24827348298403526
0.85,10.0,0.09344113520096585
0.9,0.1,0.8145336162120005
0.9,0.5,0.7442410505182845
0.9,1.0,0.7496098356266332
0.9,2.0,0.4676071584677503
0.9,5.0,0.21857843699347845
0.9,10.0,0.11230336693517697
0.93,0.1,0.8727533705341882
0.93,0.5,0.8228587727413911
0.93,1.0,0.799285773838079
0.93,2.0,0.5782263070365553
0.93,5.0,0.23703368135940134
0.93,10.0,0.12906507004878343
0.95,0.1,0.9020357233164855
0.95,0.5,0.8613325827292982
0.95,1.0,0.8188740595567663
0.95,2.0,0.6084830328787502
0.95,5.0,0.2617877420987803
0.95,10.0,0.13791320946036678
0.98,0.1,0.9319251838384633
0.98,0.5,0.9101227261704857
0.98,1.0,0.8794366982417228
0.98,2.0,0.6501567351661767
0.98,5.0,0.2969482780264388
0.98,10.0,0.14825936045293808
1.0,0.1,0.9473968862472655
1.0,0.5,0.9482395221236748
1.0,1.0,0.9052236345641157
1.0,2.0,0.6574236317639922
1.0,5.0,0.31855199880036805
1.0,10.0,0.15398637396668333
1.02,0.1,0.9557719427209191
1.02,0.5,0.9595231039488816
1.02,1.0,0.9182053153786299
1.02,2.0,0.6726901357270313
1.02,5.0,0.3553014408757533
1.02,10.0,0.16333729722848836
1.05,0.1,0.9690003401433082
1.05,0.5,0.9789517327661013
1.05,1.0,0.9488123943909474
1.05,2.0,0.691254308002142
1.05,5.0,0.3737654520703425
1.05,10.0,0.16893222332916202
1.07,0.1,0.9766274046453788
1.07,0.5,0.9852149845326481
1.07,1.0,0.9628014699429255
1.07,2.0,0.7200418872364858
1.07,5.0,0.36316816514842165
1.07,10.0,0.1631734976611031
1.1,0.1,0.985841158223586
1.1,0.5,0.9900342756644845
1.1,1.0,0.976322043122124
1.1,2.0,0.722519848652069
1.1,5.0,0.29680376746669934
1.1,10.0,0.18594014056546906
1.2,0.1,0.9978296803483769
1.2,0.5,0.9981820470085393
1.2,1.0,0.9978677099228049
1.2,2.0,0.8863747496254945
1.2,5.0,0.3850120914378636
1.2,10.0,0.18664305129322728
1.5,0.1,0.999983141719261
1.5,0.5,0.9994083619251249
1.5,1.0,0.9983468263296517
1.5,2.0,0.9952729827777369
1.5,5.0,0.5206940154628573
1.5,10.0,0.2450027531131205
2.0,0.1,0.9999976596216085
2.0,0.5,0.9992478993946369
2.0,1.0,0.9956794485263002
2.0,2.0,0.9975796477238417
2.0,5.0,0.7040082658791439
2.0,10.0,0.280984165413072
4.0,0.1,0.99997902419268
4.0,0.5,0.9962913957413827
4.0,1.0,0.9933316569389822
4.0,2.0,0.9958137950698699
4.0,5.0,0.9941666024467494
4.0,10.0,0.6678352465393564
6.0,0.1,0.9999983022043378
6.0,0.5,0.999309369399781
6.0,1.0,0.9852195025450435
6.0,2.0,0.9512191511624972
6.0,5.0,0.9916589322186387
6.0,10.0,0.9958565524884964
8.0,0.1,0.9999999308547559
8.0,0.5,0.9998931976737554
8.0,1.0,0.9992467980477122
8.0,2.0,0.9969018862328682
8.0,5.0,0.9865645855731711
8.0,10.0,0.9953137782068328
10.0,0.1,0.9999999998302054
10.0,0.5,0.9999919121715412
10.0,1.0,0.999765205628591
10.0,2.0,0.9988417612200542
10.0,5.0,0.9926636284175812
10.0,10.0,0.9907844462899741
